# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	maxMag(U)
51.2          	2.874784e+00
51.25         	2.856910e+00
51.3          	2.839423e+00
51.35         	2.823204e+00
51.4          	2.822962e+00
51.45         	2.840578e+00
51.5          	2.857322e+00
51.55         	2.873126e+00
51.6          	2.887668e+00
51.65         	2.900141e+00
51.7          	2.910645e+00
51.75         	2.918723e+00
51.8          	2.924652e+00
51.85         	2.928249e+00
51.9          	2.928987e+00
51.95         	2.927070e+00
52            	2.922499e+00
52.05         	2.915361e+00
52.1          	2.905711e+00
52.15         	2.893906e+00
52.2          	2.879367e+00
52.25         	2.862462e+00
52.3          	2.843486e+00
52.35         	2.822175e+00
52.4          	2.799026e+00
52.45         	2.775214e+00
52.5          	2.762575e+00
52.55         	2.770117e+00
52.6          	2.777356e+00
52.65         	2.784279e+00
52.7          	2.791037e+00
52.75         	2.797488e+00
52.8          	2.803593e+00
